컬럼

| table_name               | pos | column_name             | data_type                | udt_name    | is_nullable | column_default                                  | char_len | num_prec | num_scale |
| diary_texts              | 4   | content                 | text                     | text        | NO          | null                                            | null     | null     | null      |
| diary_texts              | 5   | pos_x                   | numeric                  | numeric     | NO          | null                                            | null     | null     | null      |
| diary_texts              | 6   | pos_y                   | numeric                  | numeric     | NO          | null                                            | null     | null     | null      |
| diary_texts              | 7   | rotation                | numeric                  | numeric     | NO          | 0                                               | null     | null     | null      |
| diary_texts              | 8   | font_size               | integer                  | int4        | NO          | 16                                              | null     | 32       | 0         |
| diary_texts              | 9   | font_color              | text                     | text        | NO          | '#000000'::text                                 | null     | null     | null      |
| diary_texts              | 10  | z_index                 | integer                  | int4        | NO          | 0                                               | null     | 32       | 0         |
| diary_texts              | 11  | created_at              | timestamp with time zone | timestamptz | NO          | now()                                           | null     | null     | null      |
| diary_texts              | 12  | updated_at              | timestamp with time zone | timestamptz | NO          | now()                                           | null     | null     | null      |
| drawing_tools            | 1   | id                      | uuid                     | uuid        | NO          | gen_random_uuid()                               | null     | null     | null      |
| drawing_tools            | 2   | tool_type               | text                     | text        | NO          | null                                            | null     | null     | null      |
| drawing_tools            | 3   | current_ink             | integer                  | int4        | NO          | 100                                             | null     | 32       | 0         |
| drawing_tools            | 4   | max_ink                 | integer                  | int4        | NO          | 100                                             | null     | 32       | 0         |
| drawing_tools            | 5   | updated_at              | timestamp with time zone | timestamptz | NO          | now()                                           | null     | null     | null      |
| drawing_tools            | 6   | updated_by              | uuid                     | uuid        | YES         | null                                            | null     | null     | null      |
| drawing_tools_history    | 1   | id                      | uuid                     | uuid        | NO          | gen_random_uuid()                               | null     | null     | null      |
| drawing_tools_history    | 2   | tool_type               | text                     | text        | NO          | null                                            | null     | null     | null      |
| drawing_tools_history    | 3   | user_id                 | uuid                     | uuid        | YES         | null                                            | null     | null     | null      |
| drawing_tools_history    | 4   | delta                   | integer                  | int4        | NO          | null                                            | null     | 32       | 0         |
| drawing_tools_history    | 5   | ink_after               | integer                  | int4        | NO          | null                                            | null     | 32       | 0         |
| drawing_tools_history    | 6   | reason                  | text                     | text        | NO          | null                                            | null     | null     | null      |
| drawing_tools_history    | 7   | note                    | text                     | text        | YES         | null                                            | null     | null     | null      |
| drawing_tools_history    | 8   | created_at              | timestamp with time zone | timestamptz | NO          | now()                                           | null     | null     | null      |
| gm_call_messages         | 1   | id                      | uuid                     | uuid        | NO          | gen_random_uuid()                               | null     | null     | null      |
| gm_call_messages         | 2   | call_id                 | uuid                     | uuid        | NO          | null                                            | null     | null     | null      |
| gm_call_messages         | 3   | sender_id               | uuid                     | uuid        | YES         | null                                            | null     | null     | null      |
| gm_call_messages         | 4   | sender_role             | text                     | text        | NO          | null                                            | null     | null     | null      |
| gm_call_messages         | 5   | content                 | text                     | text        | NO          | null                                            | null     | null     | null      |
| gm_call_messages         | 6   | created_at              | timestamp with time zone | timestamptz | NO          | now()                                           | null     | null     | null      |
| gm_calls                 | 1   | id                      | uuid                     | uuid        | NO          | gen_random_uuid()                               | null     | null     | null      |
| gm_calls                 | 2   | user_id                 | uuid                     | uuid        | YES         | null                                            | null     | null     | null      |
| gm_calls                 | 3   | character_name          | text                     | text        | YES         | null                                            | null     | null     | null      |
| gm_calls                 | 4   | call_type               | text                     | text        | NO          | null                                            | null     | null     | null      |
| gm_calls                 | 5   | status                  | text                     | text        | NO          | 'open'::text                                    | null     | null     | null      |
| gm_calls                 | 6   | created_at              | timestamp with time zone | timestamptz | NO          | now()                                           | null     | null     | null      |
| gm_calls                 | 7   | updated_at              | timestamp with time zone | timestamptz | NO          | now()                                           | null     | null     | null      |
| gm_conversation_messages | 1   | id                      | uuid                     | uuid        | NO          | gen_random_uuid()                               | null     | null     | null      |
| gm_conversation_messages | 2   | conversation_id         | uuid                     | uuid        | NO          | null                                            | null     | null     | null      |
| gm_conversation_messages | 3   | sender_role             | text                     | text        | NO          | null                                            | null     | null     | null      |
| gm_conversation_messages | 4   | sender_profile_id       | uuid                     | uuid        | YES         | null                                            | null     | null     | null      |
| gm_conversation_messages | 5   | msg_type                | text                     | text        | NO          | 'text'::text                                    | null     | null     | null      |
| gm_conversation_messages | 6   | content                 | text                     | text        | NO          | null                                            | null     | null     | null      |
| gm_conversation_messages | 7   | created_at              | timestamp with time zone | timestamptz | NO          | now()                                           | null     | null     | null      |
| gm_conversations         | 1   | id                      | uuid                     | uuid        | NO          | gen_random_uuid()                               | null     | null     | null      |
| gm_conversations         | 2   | user_id                 | uuid                     | uuid        | NO          | null                                            | null     | null     | null      |
| gm_conversations         | 3   | user_profile_id         | uuid                     | uuid        | NO          | null                                            | null     | null     | null      |
| gm_conversations         | 4   | last_user_msg_at        | timestamp with time zone | timestamptz | YES         | null                                            | null     | null     | null      |
| gm_conversations         | 5   | last_gm_msg_at          | timestamp with time zone | timestamptz | YES         | null                                            | null     | null     | null      |
